store_desc,store_desc1,address,coor_x,coor_y
广州市天河区海底捞火锅(颐高数码广场店),广州市天河区海底捞火锅(颐高数码广场店),广东省广州市天河区天河路490号壬丰大厦颐高数码广场四层1号商铺,113.341615,23.138506
广州市海珠区海底捞火锅(海珠万达广场店),广州市海珠区海底捞火锅(海珠万达广场店),广东省广州市海珠区凤阳街道逸景路238号万达广场F5,113.320662,23.08927
广州市天河区海底捞火锅(天河太阳新天地店),广州市天河区海底捞火锅(天河太阳新天地店),广东省广州市天河区马场路36号太阳新天地商场801房,113.350368,23.129519
广州市天河区海底捞(佳兆业广场店),广州市天河区海底捞(佳兆业广场店),广东省广州市天河区体育西路191号中石化大厦4楼,113.327154,23.145982
广州市天河区海底捞火锅(广州东站店),广州市天河区海底捞火锅(广州东站店),广东省广州市天河区林和西路中泰广场6楼633号,113.329265,23.155646
广州市白云区海底捞火锅(嘉裕太阳城店),广州市白云区海底捞火锅(嘉裕太阳城店),广州市白云区广州大道北1811号嘉裕太阳城广场F3,113.332037,23.193789
广州市越秀区海底捞火锅(流花展贸中心店),广州市越秀区海底捞火锅(流花展贸中心店),广东省广州市越秀区流花路117号流花展贸中心3号馆1楼3-1-A002(S),113.265325,23.147312
广州市白云区海底捞火锅(机场路店),广州市白云区海底捞火锅(机场路店),广东省广州市白云区机场路1399号广州百信广场二期-A区F1广州百信广场F3,113.268564,23.200623
广州市白云区海底捞火锅(白云汇店),广州市白云区海底捞火锅(白云汇店),广东省广州市白云区黄石东路88号白云汇广场F4,113.275863,23.209192
深圳市南山区海底捞火锅(方大城店),深圳市南山区海底捞火锅(方大城店),深圳市南山区北环大道方大城一期2号研发楼二层L210~215号商铺,113.979491,22.561891
深圳市南山区海底捞火锅(南山京基百纳店),深圳市南山区海底捞火锅(南山京基百纳店),广东省深圳市南山区白石路2168号南山京基百纳广场F3层,113.975231,22.537518
深圳市南山区海底捞火锅(益田假日里店),深圳市南山区海底捞火锅(益田假日里店),广东省深圳市南山区留仙大道(众冠时代广场)益田假日里购物中心F5,113.969994,22.588481
深圳市南山区海底捞火锅(南山茂业店),深圳市南山区海底捞火锅(南山茂业店),南山区海德二道288号茂业·时代广场F8,113.936898,22.52559
深圳市福田区海底捞火锅(马成时代广场店),深圳市福田区海底捞火锅(马成时代广场店),广东省深圳市福田区福保街道新港社区石厦北二街89号马成时代广场F3,114.05966,22.526049
深圳市福田区海底捞火锅(京基KKONE购物中心店),深圳市福田区海底捞火锅(京基KKONE购物中心店),广东省深圳市福田区滨河大道9289号KK ONE购物中心F2,114.033941,22.533516
深圳市龙华区海底捞火锅(上河坊店),深圳市龙华区海底捞火锅(上河坊店),广东省深圳市龙华区民治街道民塘路书香门第上河坊广场一层1158-1161、1163B商铺,114.054213,22.602748
深圳市南山区海底捞火锅(塘朗城店),深圳市南山区海底捞火锅(塘朗城店),广东省深圳市南山区留仙大道福光社区塘朗车辆段旁塘朗城广场(西区)A座、B座、C座商业514、515(L2层),114.007182,22.595781
深圳市龙华区海底捞火锅(8号仓店),深圳市龙华区海底捞火锅(8号仓店),深圳市龙华区民治街道民新社区民康路1号8号仓奥特莱斯F2,114.061756,22.624575
深圳市龙岗区海底捞火锅(佳华领汇店),深圳市龙岗区海底捞火锅(佳华领汇店),广东省深圳市龙岗区坂田街道吉华路635号6层lh6f-03号商铺,114.065946,22.638639
深圳市龙华区海底捞火锅(星河iCO店),深圳市龙华区海底捞火锅(星河iCO店),深圳市龙华区龙华街道东环二路8号星河iCOF2,114.043021,22.662033
